query_id,query,rank,score,event_id,title,venue_name,address,city,date_range,first_timing_begin,last_timing_begin,conditions,registration_url,origin_agenda,chunk_id,chunk_index,chunk_text_length,chunk_preview
q001,Je cherche une exposition à Paris,1,0.432597905,37396801,Exposition dans le cadre du festival de l'école,Ecole élémentaire Jomard,9 rue Jomard 75019 Paris,Paris,2026-06-15T09:00:00.000+02:00 → 2026-06-19T09:00:00.000+02:00,2026-06-15T09:00:00.000+02:00,2026-06-19T09:00:00.000+02:00,,,,37396801::chunk_0,0,513,Titre: Exposition dans le cadre du festival de l'école Description: Dis-moi Dix mots Description détaillée: Les élèves prépareront des panneaux en lien avec les apprentissages en français et en arts plastiques. Ces panneaux seront exposés à l'occasion d'une exposition de fin d'année dans le cadre du festival de l'école. Ce travail sera présenté...
q001,Je cherche une exposition à Paris,2,0.457256556,63240523,"Exposition ""Abrume - sur les traces des cabanes libres""",Galerie Callot - École d'architecture Paris-Malaquais – PSL,1 rue Jacques-Callot 75006 Paris,Paris,2025-10-17T10:00:00.000+02:00 → 2025-10-19T10:00:00.000+02:00,2025-10-17T10:00:00.000+02:00,2025-10-19T10:00:00.000+02:00,,,,63240523::chunk_0,0,858,"Titre: Exposition ""Abrume - sur les traces des cabanes libres"" Description: Exposition ""Abrume - sur les traces des cabanes libres"" Description détaillée: **La Galerie Callot créée en 2025 par l’École nationale supérieure d'architecture Paris-Malaquais – PSL présente l’exposition ""Abrume - sur les traces des cabanes libres"".** Issue d’une enquêt..."
q001,Je cherche une exposition à Paris,3,0.457903773,91799544,Exposition « Calder. Rêver en équilibre »,Fondation Louis Vuitton,"8 avenue du Mahatma Gandhi, 75016 Paris, France",Paris,2026-05-23T19:00:00.000+02:00,2026-05-23T19:00:00.000+02:00,2026-05-23T19:00:00.000+02:00,,,,91799544::chunk_0,0,849,"Titre: Exposition « Calder. Rêver en équilibre » Description: Visite libre de l'exposition « Calder. Rêver en équilibre » Description détaillée: À l’occasion du centenaire de l'arrivée en France d'Alexander Calder et des cinquante ans de sa disparition, la Fondation présente l’exposition « Calder. Rêver en équilibre ». Cette exposition couvre un..."
q001,Je cherche une exposition à Paris,5,0.461403638,87454782,Mini-visite des expositions,Musée du Louvre et jardin des Tuileries,"Place du carrousel, 75001 Paris, France",Paris,2026-05-23T18:30:00.000+02:00,2026-05-23T18:30:00.000+02:00,2026-05-23T18:30:00.000+02:00,,,,87454782::chunk_0,0,747,"Titre: Mini-visite des expositions Description: Visite flash des expositions « Michel-Ange, Rodin. Corps vivants », « l’Eau primordiale, leçons de Mésopotamie » et « Martin Schongauer, le bel immortel » Description détaillée: Découvrez les expositions « Michel-Ange, Rodin. Corps vivants », « l’Eau primordiale, leçons de Mésopotamie » et « Martin..."
q001,Je cherche une exposition à Paris,6,0.461697161,12437006,"Exposition itinérante ""COUVREURS. Les artistes des Toits de Paris""",Parc de Choisy,"Avenue de Choisy, Paris 75013",Paris,2025-04-19T00:00:00.000+02:00 → 2025-07-04T00:00:00.000+02:00,2025-04-19T00:00:00.000+02:00,2025-07-04T00:00:00.000+02:00,,,,12437006::chunk_0,0,788,"Titre: Exposition itinérante ""COUVREURS. Les artistes des Toits de Paris"" Description: Le 13 novembre, c'est au square Anvers que Delphine BÜRKLI a inauguré le vernissage de l’exposition de Gilles MERMET qui célèbre les femmes et les hommes qui ont choisi ce métier d’art pour exprimer … Description détaillée: Le 13 novembre, c'est au square Anve..."
q001,Je cherche une exposition à Paris,7,0.461798549,95999574,Exposition - Vernis à ombres. Benoît Piéron,Palais de Tokyo,"13 Avenue du Président Wilson, 75016 Paris, France",Paris,2026-05-23T18:00:00.000+02:00,2026-05-23T18:00:00.000+02:00,2026-05-23T18:00:00.000+02:00,,,,95999574::chunk_0,0,985,"Titre: Exposition - Vernis à ombres. Benoît Piéron Description: Exposition ""Vernis à ombres. Benoît Piéron"" Description détaillée: Les œuvres de Benoît Piéron proposent des expériences de temps suspendu, d’attente, d’hallucination et de rêverie par le détournement d’une esthétique fonctionnelle et sanitaire. En réinsérant de la douceur et du dés..."
q001,Je cherche une exposition à Paris,8,0.469822139,33989119,"Visite flash - Exposition ""CLING ! La bande dessinée parle cash""",La Monnaie de Paris,"11 Quai de Conti, 75006 Paris, France",Paris,2026-05-23T19:00:00.000+02:00,2026-05-23T19:00:00.000+02:00,2026-05-23T19:00:00.000+02:00,,,,33989119::chunk_0,0,820,"Titre: Visite flash - Exposition ""CLING ! La bande dessinée parle cash"" Description: Visite flash de l'exposition « CLING ! La bande dessinée parle cash » Description détaillée: **Vous êtes plutôt Astérix, Blueberry, Ma Dalton, ou Spirou ?** Parcourez l’exposition aux côtés d’un médiateur pour découvrir quel personnage vous ressemble le plus, ou..."
q002,Je cherche une exposition gratuite à Paris,1,0.431156397,28307056,Visite libre de l'exposition,Musée de la marine,"17 place du Trocadéro et du Onze Novembre, 75016 Paris, France",Paris,2026-05-23T19:00:00.000+02:00,2026-05-23T19:00:00.000+02:00,2026-05-23T19:00:00.000+02:00,,,,28307056::chunk_0,0,513,"Titre: Visite libre de l'exposition Description: Visite libre de l'exposition « La Marine et les peintres. Quatre siècles d'art et de pouvoir » Description détaillée: A l'occasion de la Nuit européenne des musées, découvrez gratuitement et sans réservation l'exposition temporaire _La Marine et les peintres. Quatre siècles d'art et de pouvoir_, a..."
q002,Je cherche une exposition gratuite à Paris,2,0.432742536,63240523,"Exposition ""Abrume - sur les traces des cabanes libres""",Galerie Callot - École d'architecture Paris-Malaquais – PSL,1 rue Jacques-Callot 75006 Paris,Paris,2025-10-17T10:00:00.000+02:00 → 2025-10-19T10:00:00.000+02:00,2025-10-17T10:00:00.000+02:00,2025-10-19T10:00:00.000+02:00,,,,63240523::chunk_1,1,967,". L’exposition prolonge le livre _Abrume – sur les traces des cabanes libres_, publié à l’automne 2024 aux éditions ULMER. **Accessible et pédagogique, elle s’adresse à un large public** : randonneurs, curieux, scolaires, professionnels de la construction, chercheurs. En valorisant ce patrimoine modeste, elle questionne nos manières de bâtir, d’..."
q002,Je cherche une exposition gratuite à Paris,3,0.443177551,89776192,Visite libre du musée,Musée national Jean-Jacques Henner,"43 Avenue de Villiers, 75017 Paris, France",Paris,2026-05-23T18:00:00.000+02:00,2026-05-23T18:00:00.000+02:00,2026-05-23T18:00:00.000+02:00,,https://billetterie.musee-henner.fr/detail-activite/ndm-henner,,89776192::chunk_0,0,572,"Titre: Visite libre du musée Description: Visite libre Description détaillée: A l'occasion de la Nuit européenne des musées, le musée vous ouvre ses portes gratuitement pour découvrir ses collections et l'hôtel particulier qui les abrite. L'occasion également de découvrir l'exposition-dossier ""Salomé. Henner et Moreau face au mythe"". Dernière en..."
